"obs","LONGITUDE","LATITUDE","bio1","bio4","bio8","bio9","bio11","bio12","bio16","bio19"
1,12.08,47.76,76,6948,162,-2,-17,994,389,165
1,-2.92504,50.93023,93,4598,46,111,38,865,274,258
1,1.93479,48.7275,103,5455,109,67,32,643,173,159
1,-3.36167,55.96053,81,4268,86,47,28,809,241,204
1,5.8882,51.86886,95,5516,164,53,24,768,221,187
1,7.45809,50.4249,95,5963,170,53,18,693,210,166
1,9.70129,47.44969,76,6551,157,2,-11,1159,411,222
1,4.41862,50.7925,99,5636,66,62,26,823,224,203
1,4.35435,46.6784,104,6156,182,66,23,789,218,180
1,4.23592,51.77786,98,5273,110,54,32,768,226,184
1,18.0486,59.2879,69,7226,155,9,-18,523,180,114
1,-2.22783,53.81086,86,4612,38,106,29,1273,408,364
1,11.75,51.86,91,6514,175,17,8,486,168,93
1,4.40446,50.81948,99,5636,66,62,26,823,224,203
1,2.93122,49.33455,103,5498,109,66,32,627,170,152
1,7.42,49.26,87,6117,165,46,8,727,216,178
1,12.75778,55.59556,81,6160,155,29,7,602,188,135
1,3.74885,51.03361,102,5327,75,62,34,755,218,181
1,11.13414,54.84615,83,5956,156,27,9,600,180,119
1,5.92498,52.33183,91,5411,156,48,22,791,225,193
1,5.91381,48.8369,93,5991,168,53,15,748,216,185
1,12.23535,55.73647,83,6200,158,28,7,606,190,114
1,11.25,50.66,67,6406,148,21,-16,738,234,162
1,-2.68936,54.16865,86,4589,60,107,27,1162,373,321
1,0.12498,52.26363,97,4878,157,61,36,550,150,125
1,7.42,51.06,85,5813,159,43,11,916,259,233
1,8.25,51.86,92,5730,165,50,20,821,243,203
1,4.48315,51.69778,97,5325,109,54,31,778,227,187
1,12.2402,55.68563,83,6200,158,28,7,606,190,114
1,4.37616,51.23298,101,5462,71,60,31,780,217,189
1,13.75,54.06,85,6626,170,33,0,553,175,114
1,12.53158,55.74955,83,6218,158,30,8,627,195,141
1,-0.3541,51.19212,97,4978,69,60,35,681,198,172
1,4.39031,50.90038,102,5599,70,64,29,787,214,191
1,3.29869,50.76968,101,5285,72,62,32,706,202,165
1,4.23546,51.76752,98,5273,110,54,32,768,226,184
1,-4.09715,55.93223,81,4315,57,100,28,1163,372,333
1,3.88974,51.19606,102,5358,75,60,33,759,219,182
1,12.44431,55.75177,83,6207,158,29,8,620,193,119
1,9.58,49.06,87,6493,168,14,2,736,249,151
1,4.46122,50.81944,99,5636,66,62,26,823,224,203
1,4.72851,51.73537,96,5353,107,53,29,790,225,190
1,10.9154,53.7485,84,6328,165,33,4,655,201,152
1,11.7738,55.273,83,6029,156,26,7,584,177,113
1,4.71617,51.94712,95,5335,106,51,29,794,231,191
1,1.59624,47.761,109,5605,46,72,37,643,173,163
1,2.79136,48.3346,110,5743,167,72,35,642,172,158
1,9.92,51.36,81,6154,159,9,1,702,230,155
1,11.81313,55.20099,83,6029,156,26,7,584,177,113
1,4.3903,50.88241,102,5599,70,64,29,787,214,191
1,16.495,50.407,58,6797,142,-22,-33,703,289,105
1,-1.77217,53.81086,91,4580,44,137,35,889,265,244
1,7.21394,48.87515,90,6186,169,49,10,746,222,174
1,10.72918,53.85096,85,6289,165,34,5,668,202,156
1,9.6937,47.46899,76,6551,157,2,-11,1159,411,222
1,13.58,52.46,91,6951,178,42,0,544,180,119
1,2.48759,48.8762,111,5704,115,74,38,645,173,155
1,1.53429,47.6611,110,5623,47,73,37,651,176,166
1,1.70913,48.69816,103,5427,69,66,32,640,174,161
1,2.38954,48.61363,111,5682,167,74,37,639,169,155
1,4.81985,51.75324,96,5353,107,53,29,790,225,190
1,4.35713,51.70227,97,5325,109,54,31,778,227,187
1,-1.20493,51.65063,97,4696,47,61,38,675,197,174
1,6.75,52.66,90,5444,158,48,20,775,222,185
1,-5.43094,50.16369,99,3968,60,135,51,1077,386,360
1,6.42,51.26,101,5780,174,59,26,796,229,189
1,4.59704,52.386,93,5264,107,43,30,790,249,187
1,4.69942,51.74419,96,5353,107,53,29,790,225,190
1,11.92,48.06,78,6973,165,0,-15,941,363,161
1,-1.2065,51.56072,97,4696,47,61,38,675,197,174
1,5.95082,49.20855,95,5970,27,55,18,795,215,203
1,4.37609,50.90039,102,5599,70,64,29,787,214,191
1,11.70943,55.33816,82,6071,156,25,6,601,181,118
1,8.92,54.66,81,5730,128,31,9,826,267,181
1,4.69942,51.74419,96,5353,107,53,29,790,225,190
1,16.5424,59.3428,62,7361,147,1,-30,570,200,114
1,8.3309,48.91229,104,6525,171,32,19,713,223,151
1,12.42897,55.73111,83,6207,158,29,8,620,193,119
1,9.6126,47.49113,85,6639,168,12,-3,1141,408,216
1,4.40451,50.8824,102,5599,70,64,29,787,214,191
1,4.34771,50.79251,99,5636,66,62,26,823,224,203
1,20.7,50.11667,86,8072,183,-11,-26,668,277,101
1,7.58,47.86,101,6339,183,19,19,690,242,121
1,40.29,55.6,46,10527,177,-80,-91,599,212,112
1,4.36189,50.79251,99,5636,66,62,26,823,224,203
1,12.75,48.26,82,7007,169,3,-12,997,366,192
1,1.80382,50.49656,105,4912,116,66,42,635,206,161
1,-1.32233,53.44958,94,4612,46,58,37,683,188,172
1,9.92,52.16,83,6069,160,38,5,744,233,172
1,12.23106,55.73417,83,6200,158,28,7,606,190,114
1,-3.99747,55.86198,78,4364,54,96,24,1122,355,320
1,11.92,49.06,78,6960,165,34,-14,704,252,140
1,1.82887,49.41879,101,5243,70,64,33,672,194,171
1,12.18896,54.92392,83,5954,156,28,10,573,174,112
1,4.07262,51.90833,98,5220,111,52,33,763,231,182
1,2.93098,49.51431,102,5433,107,65,31,637,174,155
1,11.14841,54.82078,83,5964,156,27,9,604,181,120
1,7.58,47.96,101,6339,183,19,19,690,242,121
1,2.5105,48.882,110,5696,114,72,36,646,172,156
1,-1.64142,51.29307,95,4775,45,143,35,743,234,207
1,4.55864,51.70511,97,5341,108,53,30,786,227,189
1,5.65907,46.06813,80,6312,9,157,-2,1133,302,292
1,4.19153,51.78506,98,5273,110,54,32,768,226,184
1,1.52243,50.49352,106,4876,118,68,44,625,204,160
1,11.81269,55.24593,83,6029,156,26,7,584,177,113
1,-1.17523,53.26886,94,4747,43,58,35,706,195,180
1,12.46269,55.93821,80,6271,155,24,2,632,200,119
1,13.42452,52.45753,91,6924,178,42,0,560,184,124
1,4.86489,51.59335,96,5406,67,54,27,792,220,193
1,-2.22171,52.64218,91,4577,43,56,34,695,192,172
1,-4.28381,55.83902,82,4262,58,101,30,1238,400,359
1,7.75,52.66,87,5782,159,43,12,814,241,198
1,17.5802,59.2195,66,7254,151,5,-23,532,184,114
1,4.53446,51.45758,98,5423,69,57,29,788,220,191
1,5.64138,50.90248,96,5528,167,55,26,814,228,195
1,9.58,53.16,86,6164,163,39,6,717,224,161
1,7.25,52.76,89,5628,160,46,17,781,229,184
1,12.56566,55.61458,84,6159,158,31,9,605,188,136
1,8.08,52.06,91,5777,164,48,18,835,240,208
1,8.42,48.46,79,6378,159,36,-4,1007,304,234
1,40.13,55.77,46,10470,176,-79,-91,600,213,111
1,10.92,49.06,81,6767,166,5,-8,728,253,146
1,3.69105,51.08722,102,5327,75,62,34,755,218,181
1,4.40481,51.25095,101,5462,71,60,31,780,217,189
1,9.61288,47.22262,82,6575,164,9,-5,1144,411,212
1,-1.9261,52.64237,92,4586,44,55,35,721,202,186
1,10.75,51.26,79,6337,160,6,-2,602,200,116
1,4.13765,51.78941,99,5252,111,54,33,762,227,183
1,12.75,53.56,80,6441,164,27,0,567,192,118
1,11.92568,55.6476,81,6103,155,25,5,613,185,120
1,12.9151,54.2484,82,6208,162,29,5,556,180,116
1,16.07834,46.69968,94,7391,186,11,-4,852,311,129
1,6.64335,49.19409,93,6090,171,52,15,774,209,193
1,0.36176,47.3531,113,5472,52,183,42,686,199,189
1,1.2693,51.87766,101,4738,113,62,43,554,166,132
1,-0.43551,52.99172,96,4950,161,61,34,585,158,137
1,13.25,54.16,82,6294,163,30,3,559,180,115
1,9.75,53.36,84,6187,162,37,5,746,231,171
1,0.10377,51.81435,101,4967,73,64,39,620,175,153
1,4.23546,51.76752,98,5273,110,54,32,768,226,184
1,4.43279,50.78351,99,5636,66,62,26,823,224,203
1,16.42111,48.15417,99,7282,191,17,3,629,219,114
1,4.3903,50.88241,102,5599,70,64,29,787,214,191
1,8.25,51.06,68,5861,3,27,-7,1085,321,307
1,10.75,48.16,79,6546,162,6,-6,933,343,168
1,11.08,51.66,73,6281,153,0,-7,689,220,144
1,4.22588,49.1887,100,5769,173,62,25,677,190,168
1,17.9725,59.2218,69,7264,154,8,-20,526,182,112
1,5.97223,51.63688,97,5575,167,55,25,770,219,187
1,9.75,52.76,87,6157,165,41,8,676,214,149
1,-3.68584,56.04639,84,4407,59,104,29,911,279,248
1,11.92,47.76,67,6833,151,-10,-24,1020,401,170
1,13.58,53.16,85,6813,171,5,-4,569,188,119
1,12.50147,55.96067,81,6282,157,26,4,638,201,122
1,4.40449,50.86442,102,5599,70,64,29,787,214,191
1,2.2355,47.8873,109,5674,165,71,35,656,173,164
1,4.4045,50.87341,102,5599,70,64,29,787,214,191
1,4.43285,50.82845,99,5636,66,62,26,823,224,203
1,-2.71436,55.60653,75,4529,51,96,18,870,253,222
1,10.08,52.16,84,6098,162,39,6,710,226,161
1,1.27584,51.96743,101,4738,113,62,43,554,166,132
1,-4.17984,55.83641,82,4262,58,101,30,1238,400,359
1,10.42,50.96,73,6330,153,1,-9,702,214,156
1,-4.25972,55.90553,82,4262,58,101,30,1238,400,359
1,15.1372,57.9457,57,6831,136,0,-28,612,203,132
1,6.25,51.26,100,5726,172,58,26,792,229,188
1,14.25,52.26,91,7234,181,6,-5,542,186,111
1,3.06878,49.33455,100,5507,167,63,29,637,171,157
1,4.23546,51.76752,98,5273,110,54,32,768,226,184
1,6.33,49.48,98,6005,59,58,21,759,202,186
1,6.38835,53.14562,87,5353,152,42,19,791,234,187
1,5.88972,51.86165,95,5516,164,53,24,768,221,187
1,3.75111,50.86282,101,5387,72,61,31,767,218,186
1,5.77282,51.01787,98,5524,169,57,28,772,219,181
1,18.3528,59.0353,69,7102,154,9,-17,502,169,114
1,11.08,52.26,85,6344,167,12,5,583,189,122
1,4.39031,50.90038,102,5599,70,64,29,787,214,191
1,3.76182,51.13255,102,5327,75,62,34,755,218,181
1,0.74394,52.79047,93,4826,41,57,32,625,178,159
1,14.92,51.06,81,6855,167,1,-9,621,213,125
1,-2.93775,51.55965,99,4681,50,120,42,916,287,260
1,12.58,50.66,69,6635,153,-7,-17,665,226,138
1,3.76322,51.02469,102,5327,75,62,34,755,218,181
1,12.35109,55.80555,83,6207,158,29,8,620,193,119
1,12.53014,55.7495,83,6218,158,30,8,627,195,141
1,9.75,53.26,84,6200,163,37,4,734,228,167
1,2.45386,48.9399,111,5704,115,74,38,645,173,155
1,3.76275,51.06064,102,5327,75,62,34,755,218,181
1,4.41873,50.89139,102,5599,70,64,29,787,214,191
1,4.44701,50.81047,99,5636,66,62,26,823,224,203
1,3.47989,50.93301,101,5245,73,62,34,731,212,174
1,6.63377,52.57554,90,5436,159,48,20,773,221,185
1,10.0185,47.71103,68,6474,150,-5,-17,1055,378,200
1,7.25,50.96,93,5817,167,52,19,822,246,195
1,11.42,50.36,66,6434,147,19,-17,767,238,177
1,10.25,50.66,72,6383,154,28,-10,716,211,167
1,4.33352,50.79251,99,5636,66,62,26,823,224,203
1,14.58,51.46,88,6960,176,7,-3,588,201,120
1,2.65791,49.06437,106,5627,111,68,33,657,176,160
1,2.45523,48.8655,111,5704,115,74,38,645,173,155
1,7.42,53.16,89,5708,161,43,16,782,233,181
1,13.5523,55.6729,75,6180,149,20,0,679,205,164
1,16.186,58.5779,67,7016,149,8,-19,562,188,120
1,11.08,50.46,67,6496,148,21,-18,760,235,173
1,6.75,50.06,79,5842,152,39,3,785,227,207
1,0.36556,51.26972,101,4796,75,63,42,654,203,171
1,4.13848,51.82034,99,5252,111,54,33,762,227,183
1,6.37121,52.86475,87,5388,152,43,19,787,230,187
1,10.58,52.86,85,6379,167,38,3,637,205,138
1,3.99293,50.81889,102,5493,71,63,31,779,217,191
1,15.08,51.16,79,6928,166,-2,-12,625,217,124
